date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:32:44	52081/52081	---M-Z	200	added ('OK')	text/html	etag:%22cb71-5a95cc8e0f610-gzip%22	https://sustainabilityreport2019.abb.com/overview/contribution-to-sustainable-development.html	C:/My%20Web%20Sites/spinnerfolder/sustainabilityreport2019.abb.com/overview/contribution-to-sustainable-development.html	(from )
21:32:45	180/180	---M-Z	200	added ('OK')	text/plain	date:Mon,%2008%20Mar%202021%2016:32:42%20GMT	https://sustainabilityreport2019.abb.com/robots.txt		(from )
21:32:45	21135/21135	---M-Z	200	added ('OK')	text/html	etag:%22528f-5a95cc8dec38e-gzip%22	https://sustainabilityreport2019.abb.com/overview/business-model.html	C:/My%20Web%20Sites/spinnerfolder/sustainabilityreport2019.abb.com/overview/business-model.html	(from https://sustainabilityreport2019.abb.com/overview/contribution-to-sustainable-development.html)
21:32:47	158190/158190	---M-Z	200	added ('OK')	text/css	date:Fri,%2013%20Mar%202020%2010:24:03%20GMT	https://sustainabilityreport2019.abb.com/layout/css/main.css	C:/My%20Web%20Sites/spinnerfolder/sustainabilityreport2019.abb.com/layout/css/main.css	(from https://sustainabilityreport2019.abb.com/overview/contribution-to-sustainable-development.html)
21:32:47	19522/19522	---M-Z	200	added ('OK')	text/css	date:Wed,%2028%20Oct%202020%2011:07:57%20GMT	https://sustainabilityreport2019.abb.com/servicepages/tablestyle.css	C:/My%20Web%20Sites/spinnerfolder/sustainabilityreport2019.abb.com/servicepages/tablestyle.css	(from https://sustainabilityreport2019.abb.com/overview/contribution-to-sustainable-development.html)
21:32:48	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2008%20Mar%202021%2016:32:45%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/spinnerfolder/www.googletagmanager.com/gtm.55445.delayed	(from https://sustainabilityreport2019.abb.com/overview/contribution-to-sustainable-development.html)
21:32:48	4166/4166	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2012%20Mar%202020%2018:08:22%20GMT	https://sustainabilityreport2019.abb.com/layout/js/modernizr.js	C:/My%20Web%20Sites/spinnerfolder/sustainabilityreport2019.abb.com/layout/js/modernizr.js	(from https://sustainabilityreport2019.abb.com/overview/contribution-to-sustainable-development.html)
21:32:48	95833/95833	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2012%20Mar%202020%2018:08:21%20GMT	https://sustainabilityreport2019.abb.com/layout/js/jquery.js	C:/My%20Web%20Sites/spinnerfolder/sustainabilityreport2019.abb.com/layout/js/jquery.js	(from https://sustainabilityreport2019.abb.com/overview/contribution-to-sustainable-development.html)
21:32:49	113192/113192	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2001%20Jul%202020%2008:07:43%20GMT	https://sustainabilityreport2019.abb.com/layout/js/nxr-2.0.js	C:/My%20Web%20Sites/spinnerfolder/sustainabilityreport2019.abb.com/layout/js/nxr-2.0.js	(from https://sustainabilityreport2019.abb.com/overview/contribution-to-sustainable-development.html)
21:32:49	567271/567271	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2012%20Mar%202020%2018:08:22%20GMT	https://sustainabilityreport2019.abb.com/layout/js/plugins.js	C:/My%20Web%20Sites/spinnerfolder/sustainabilityreport2019.abb.com/layout/js/plugins.js	(from https://sustainabilityreport2019.abb.com/overview/contribution-to-sustainable-development.html)
